BinNum,Powheg+PY6 hdamp=#inftyVal,Powheg+PY6 hdamp=#inftyRatio,Powheg+PY6 hdamp=m_{t}Val,Powheg+PY6 hdamp=m_{t}Ratio,Powheg+PY8 hdamp=m_{t}Val,Powheg+PY8 hdamp=m_{t}Ratio,MC@NLO+HWVal,MC@NLO+HWRatio,Powheg+HWVal,Powheg+HWRatio,
0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,
1,1.022555,0.003092,1.008836,0.007693,1.002185,0.007533,0.955649,0.007512,1.012259,0.005367,
2,1.022088,0.003366,1.031048,0.008582,1.015507,0.008317,1.005596,0.008608,1.023933,0.005964,
3,1.026328,0.003655,0.978801,0.008933,1.021186,0.009026,1.016895,0.009516,1.021426,0.006411,
4,1.018479,0.003905,1.037692,0.010194,0.998646,0.009607,1.006607,0.010114,1.036099,0.007060,
5,1.005256,0.004153,1.000024,0.010535,1.036107,0.010769,1.011652,0.011023,1.009932,0.007391,
6,0.996077,0.003210,0.991727,0.008262,1.013679,0.008237,1.013397,0.008628,0.995926,0.005741,
7,0.991333,0.003630,1.034983,0.009947,0.997281,0.009279,0.996514,0.009913,0.986307,0.006564,
8,0.965465,0.003991,0.966523,0.010456,0.987249,0.010489,0.975031,0.010805,0.966709,0.007119,
9,0.955997,0.004393,0.936814,0.011499,0.953774,0.011282,1.037497,0.012891,0.979932,0.008063,
10,0.953567,0.004861,0.951694,0.013027,0.959141,0.012665,0.957739,0.013413,0.944909,0.008717,
11,0.939122,0.003554,0.925248,0.009599,0.913096,0.009248,0.942301,0.009872,0.928746,0.006407,
12,0.932075,0.004374,0.962914,0.012798,0.934638,0.011989,0.940661,0.012672,0.933633,0.007999,
13,0.934048,0.005325,0.883902,0.014607,0.898158,0.014351,0.975641,0.015876,0.921661,0.009600,
14,0.955504,0.006489,0.904209,0.017861,0.946887,0.018178,0.923890,0.018506,0.906171,0.011213,
15,0.934082,0.007460,0.981537,0.023028,0.955144,0.022234,0.907843,0.022233,0.934070,0.013702,
16,0.953982,0.008988,0.923739,0.025327,0.925910,0.025591,0.937545,0.028004,0.942806,0.016272,
17,0.945226,0.005125,0.928152,0.014889,0.913477,0.014293,1.008188,0.019079,0.946676,0.009513,
18,0.984223,0.003189,0.995052,0.008405,0.999734,0.008330,0.948572,0.008239,0.981809,0.005592,
19,0.991310,0.003772,1.015776,0.010262,0.979719,0.009612,1.021823,0.010792,0.976760,0.006563,
20,0.976885,0.004292,0.980252,0.011523,0.996317,0.011152,1.014966,0.012748,0.987837,0.007656,
21,0.997069,0.005032,0.990428,0.013350,1.009804,0.013034,0.965522,0.014312,0.972704,0.008771,
22,0.968688,0.005563,0.965975,0.015144,0.967169,0.014267,0.924349,0.015915,0.951949,0.009759,
23,0.965298,0.004688,0.941359,0.012642,0.922724,0.011569,0.966417,0.014379,0.964864,0.008337,
24,0.936043,0.005729,0.904474,0.015530,0.960771,0.015184,0.960041,0.018545,0.899980,0.009812,
25,0.901608,0.006745,0.887264,0.018608,0.924754,0.017545,0.974006,0.024027,0.911681,0.012234,
26,0.898171,0.008182,0.929708,0.024164,0.926871,0.021853,0.976705,0.031802,0.911984,0.014715,
27,0.900651,0.009925,0.822923,0.025710,0.957645,0.026764,0.888162,0.033207,0.850914,0.016595,
28,0.854203,0.007743,0.871119,0.023444,0.875714,0.020163,0.856407,0.029829,0.923672,0.014783,
29,0.854621,0.011490,0.864103,0.035470,0.850806,0.028823,0.901284,0.051238,0.891936,0.021074,
30,0.881278,0.011092,0.732601,0.029505,0.840102,0.025811,1.231757,0.102383,0.794648,0.018233,
31,0.964200,0.004323,0.943124,0.011403,0.982519,0.011322,0.984899,0.013736,0.965965,0.007505,
32,0.974315,0.004259,0.966640,0.011736,0.942000,0.010663,0.956299,0.013925,0.925323,0.007154,
33,0.911969,0.005928,0.949201,0.017272,0.954753,0.015830,0.965848,0.023531,0.951536,0.010951,
34,0.906540,0.006410,0.850042,0.017335,0.889853,0.015865,0.822267,0.025512,0.883094,0.011082,
35,0.836544,0.009878,0.745197,0.027484,0.826449,0.023292,0.810563,0.064241,0.881279,0.018821,
36,0.929392,0.006529,0.920775,0.017944,0.959060,0.017572,1.065310,0.028856,0.958311,0.011767,
37,0.947274,0.007152,0.954716,0.020780,0.951254,0.018218,0.860725,0.029120,0.906079,0.011998,
38,0.870780,0.010864,0.822542,0.030873,0.813481,0.025780,0.778190,0.055394,0.905393,0.020081,
39,0.849644,0.012109,0.805616,0.035289,0.815882,0.027410,0.793617,0.099536,0.821665,0.021423,
40,0.912012,0.010978,0.918194,0.032095,0.943595,0.028789,0.929683,0.056137,0.919018,0.019684,
41,0.915060,0.010618,0.868423,0.030404,0.841234,0.024693,1.005175,0.089095,0.915428,0.018823,
42,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,
