BinNum,Range,Central,Error
1,0.000000-1.000000,22.684965,4.622743
2,1.000000-2.000000,22.773350,4.377312
3,2.000000-3.000000,23.427354,4.649452
4,3.000000-4.000000,23.015769,4.314704
5,4.000000-5.000000,22.651398,4.590613
6,5.000000-6.000000,23.268288,4.475458
7,6.000000-7.000000,22.973067,4.337232
8,7.000000-8.000000,22.853214,4.450968
9,8.000000-9.000000,22.896725,4.730844
10,9.000000-10.000000,22.707030,4.613855
11,10.000000-11.000000,22.834619,4.484279
12,11.000000-12.000000,23.124836,4.307492
13,12.000000-13.000000,22.741861,4.436228
14,13.000000-14.000000,22.467337,4.651625
15,14.000000-15.000000,22.759003,4.449974
16,15.000000-16.000000,22.613543,4.923338
17,16.000000-17.000000,22.917437,4.664484
18,17.000000-18.000000,22.870742,4.115698
19,18.000000-19.000000,22.836487,4.356275
20,19.000000-20.000000,22.992191,4.308745
21,20.000000-21.000000,23.040045,4.357929
22,21.000000-22.000000,22.819336,4.637504
23,22.000000-23.000000,22.683263,4.608660
24,23.000000-24.000000,22.903586,4.387841
25,24.000000-25.000000,22.874247,4.554012
26,25.000000-26.000000,22.915032,4.459181
27,26.000000-27.000000,22.819586,4.437149
28,27.000000-28.000000,22.635499,4.388434
29,28.000000-29.000000,22.458648,4.473170
30,29.000000-30.000000,22.721088,4.452949
31,30.000000-31.000000,22.971075,4.144679
32,31.000000-32.000000,23.112177,4.087459
33,32.000000-33.000000,22.980983,4.586515
34,33.000000-34.000000,22.778183,4.292812
35,34.000000-35.000000,22.693458,4.440666
36,35.000000-36.000000,23.094445,4.036586
37,36.000000-37.000000,22.790547,4.056725
38,37.000000-38.000000,22.620393,4.027490
39,38.000000-39.000000,22.793160,4.177595
40,39.000000-40.000000,22.729173,4.523560
41,40.000000-41.000000,22.605537,4.404736
