BinNum,Powheg+PY6 hdamp=m_{t}Val,Powheg+PY6 hdamp=m_{t}Ratio,Powheg+PY8 hdamp=m_{t}Val,Powheg+PY8 hdamp=m_{t}Ratio,MC@NLO+HWVal,MC@NLO+HWRatio,Powheg+HWVal,Powheg+HWRatio,
0,1.0,0,1.0,0,1.0,0,1.0,0,
1,0.037732,0.012689,0.050299,0.012725,0.052656,0.014659,0.392220,0.013316,
2,0.031333,0.007007,0.017177,0.007246,0.018355,0.008526,0.141695,0.006704,
3,0.007693,0.004089,0.009247,0.003955,0.011631,0.004672,0.044682,0.003288,
4,1.0,0,0.002244,0.002435,1.0,0,0.014526,0.001944,
5,0.000886,0.001759,0.001146,0.001746,1.0,0,0.006808,0.000835,
6,0.000824,0.000935,1.0,0,1.0,0,0.003463,0.000436,
7,1.0,0,0.000896,0.000463,0.000784,0.000460,0.001269,0.000303,
8,1.0,0,0.000543,0.000341,0.000452,0.000402,0.000771,0.000254,
9,0.000501,0.000236,0.000501,0.000236,1.0,0,0.000501,0.000236,
10,0.000266,0.000165,0.000266,0.000165,0.000266,0.000165,0.000266,0.000165,
11,1.0,0,1.0,0,1.0,0,1.0,0,
12,1.0,0,1.0,0,1.0,0,1.0,0,
13,0.000041,0.000041,0.000041,0.000041,0.000041,0.000041,0.000041,0.000041,
14,1.0,0,1.0,0,1.0,0,1.0,0,
15,1.0,0,1.0,0,1.0,0,1.0,0,
16,1.0,0,1.0,0,1.0,0,1.0,0,
17,1.0,0,1.0,0,1.0,0,1.0,0,
18,0.013467,0.014560,0.049886,0.014055,0.010499,0.017247,0.402830,0.013318,
19,0.026460,0.008810,0.034753,0.008523,0.031845,0.010436,0.164380,0.006364,
20,0.005000,0.005726,0.010232,0.005313,0.012384,0.006522,0.048849,0.004322,
21,1.0,0,0.006632,0.003306,0.001376,0.004463,0.019415,0.001695,
22,0.001070,0.002483,0.004519,0.001985,0.000238,0.003533,0.007727,0.001216,
23,0.001698,0.001335,0.001407,0.001475,1.0,0,0.004198,0.000741,
24,0.002796,0.001417,1.0,0,0.000228,0.003160,0.004194,0.001005,
25,0.000969,0.000485,1.0,0,0.002446,0.002954,0.000969,0.000485,
26,0.000671,0.000517,0.000671,0.000517,1.0,0,0.000671,0.000517,
27,1.0,0,0.001183,0.000872,0.001183,0.000872,0.001183,0.000872,
28,0.000774,0.000587,0.000774,0.000587,0.000774,0.000587,0.000774,0.000587,
29,1.0,0,1.0,0,1.0,0,1.0,0,
30,1.0,0,1.0,0,1.0,0,1.0,0,
31,0.009545,0.021040,0.022915,0.020413,0.027977,0.026214,0.333275,0.034422,
32,0.000417,0.008941,0.015726,0.008178,0.015098,0.011641,0.110287,0.006019,
33,1.0,0,1.0,0,1.0,0,0.016529,0.002025,
34,0.003057,0.001009,0.001491,0.001646,1.0,0,0.003480,0.000963,
35,0.002016,0.001397,1.0,0,1.0,0,0.002016,0.001397,
36,0.039851,0.032098,0.013052,0.031854,0.081983,0.048468,0.374026,0.039162,
37,0.007430,0.015346,0.002789,0.014373,0.024931,0.029238,0.109756,0.006273,
38,0.000686,0.011438,0.014500,0.005151,0.009180,0.018120,0.018761,0.004109,
39,0.001521,0.001069,0.001521,0.001069,1.0,0,0.001521,0.001069,
40,0.049395,0.054451,0.028429,0.051660,1.0,0,0.366765,0.035723,
41,0.030613,0.016541,0.005092,0.017522,1.0,0,0.066511,0.007823,
42,1.0,0,1.0,0,1.0,0,1.0,0,
