BinNum,Powheg+PY6 hdamp=m_{t}Val,Powheg+PY6 hdamp=m_{t}Ratio,Powheg+PY8 hdamp=m_{t}Val,Powheg+PY8 hdamp=m_{t}Ratio,MC@NLO+HWVal,MC@NLO+HWRatio,Powheg+HWVal,Powheg+HWRatio,
0,1.0,0,1.0,0,1.0,0,1.0,0,
1,0.074444,0.025049,0.099237,0.025131,0.103887,0.028946,0.773828,0.027703,
2,0.039646,0.008867,0.021734,0.009169,0.023225,0.010788,0.179291,0.008499,
3,0.008584,0.004562,0.010317,0.004412,0.012978,0.005213,0.049856,0.003666,
4,1.0,0,0.002395,0.002599,1.0,0,0.015503,0.002074,
5,0.000924,0.001834,0.001195,0.001821,1.0,0,0.007101,0.000870,
6,0.000849,0.000963,1.0,0,1.0,0,0.003566,0.000449,
7,1.0,0,0.000916,0.000473,0.000801,0.000471,0.001298,0.000310,
8,1.0,0,0.000541,0.000339,0.000450,0.000400,0.000767,0.000253,
9,0.000494,0.000233,0.000494,0.000233,1.0,0,0.000494,0.000233,
10,0.000261,0.000163,0.000261,0.000163,0.000261,0.000163,0.000261,0.000163,
11,1.0,0,1.0,0,1.0,0,1.0,0,
12,1.0,0,1.0,0,1.0,0,1.0,0,
13,0.000040,0.000040,0.000040,0.000040,0.000040,0.000040,0.000040,0.000040,
14,1.0,0,1.0,0,1.0,0,1.0,0,
15,1.0,0,1.0,0,1.0,0,1.0,0,
16,1.0,0,1.0,0,1.0,0,1.0,0,
17,1.0,0,1.0,0,1.0,0,1.0,0,
18,0.025153,0.027194,0.093172,0.026271,0.019608,0.032213,0.752363,0.026304,
19,0.032809,0.010924,0.043092,0.010569,0.039485,0.012940,0.203820,0.007920,
20,0.005320,0.006092,0.010885,0.005652,0.013176,0.006939,0.051970,0.004595,
21,1.0,0,0.006951,0.003465,0.001442,0.004677,0.020349,0.001774,
22,0.001076,0.002497,0.004545,0.001996,0.000239,0.003553,0.007771,0.001222,
23,0.001695,0.001333,0.001405,0.001473,1.0,0,0.004192,0.000740,
24,0.002707,0.001372,1.0,0,0.000221,0.003060,0.004061,0.000972,
25,0.000901,0.000451,1.0,0,0.002274,0.002746,0.000901,0.000451,
26,0.000621,0.000479,0.000621,0.000479,1.0,0,0.000621,0.000479,
27,1.0,0,0.001099,0.000809,0.001099,0.000809,0.001099,0.000809,
28,0.000681,0.000517,0.000681,0.000517,0.000681,0.000517,0.000681,0.000517,
29,1.0,0,1.0,0,1.0,0,1.0,0,
30,1.0,0,1.0,0,1.0,0,1.0,0,
31,0.017291,0.038117,0.041513,0.036986,0.050683,0.047496,0.603766,0.063036,
32,0.000474,0.010177,0.017899,0.009308,0.017184,0.013249,0.125526,0.006850,
33,1.0,0,1.0,0,1.0,0,0.015775,0.001930,
34,0.002864,0.000945,0.001397,0.001543,1.0,0,0.003261,0.000902,
35,0.001741,0.001206,1.0,0,1.0,0,0.001741,0.001206,
36,0.066362,0.053472,0.021735,0.053048,0.136525,0.080768,0.622857,0.066635,
37,0.008121,0.016772,0.003048,0.015709,0.027249,0.031955,0.119957,0.006845,
38,0.000626,0.010437,0.013230,0.004697,0.008376,0.016533,0.017118,0.003744,
39,0.001333,0.000937,0.001333,0.000937,1.0,0,0.001333,0.000937,
40,0.073630,0.081200,0.042377,0.077019,1.0,0,0.546717,0.055974,
41,0.030790,0.016634,0.005121,0.017623,1.0,0,0.066894,0.007848,
42,1.0,0,1.0,0,1.0,0,1.0,0,
